Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Total Rew Mean,Total Rew Std,Total Rew Max,Total Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.58413756,0.9277344,0.0005700688,4.0,-0.82597524,0.1228475,-0.61755735,-1.3273933,-0.82597524,0.1228475,-0.61755735,-1.3273933,2.0,0.122454084,0.12461454,0.47111583,156.77304,-157.94055,1.7718991,-155.89084,-173.63776,-157.9542,1.8275132,-155.946,-175.299,-156.80853,1.6073866,-155.12488,-168.78847,-0.30513874,0.66672754,1.937468,-3.2132266,-0.013129786,0.4215981,1.5101664,-1.1713691,-0.80171376,0.059621833,-0.6253286,-0.90567833,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.279349e-05,0.007218075,0.29733148,-0.056503836,1000.0,0.0,1000,1000,10,0.23028650982220994,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.9934694e-06,0.48582745,0.98225015,-0.98651415,1000.0,0.0,1000,1000,1000.0,1076,1080000,1080,41.34237519779708,68.43676253594458,39.0912880031392,148.87042573688086,15829.0413880134,107
0.5850661,0.92578125,0.00048083236,4.0,-0.82072544,0.124552816,-0.60148495,-1.5309907,-0.82072544,0.124552816,-0.60148495,-1.5309907,2.0,0.5172372,0.18971154,0.113534994,157.56842,-158.25449,1.705917,-156.14735,-165.42113,-156.63937,1.7132537,-154.58147,-163.79308,-157.53195,1.6116965,-155.73091,-165.11807,-0.2665068,0.49723932,1.3882673,-2.3224564,-0.040187977,0.44487277,1.050715,-1.5003843,-0.82417274,0.058952764,-0.6363064,-0.910925,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.370274e-05,0.008147413,0.29930198,-0.053907566,1000.0,0.0,1000,1000,10,0.24183465139616284,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00010650786,0.48084092,0.98096895,-0.994374,1000.0,0.0,1000,1000,1000.0,1086,1090000,1090,42.07355427718721,65.62236094998661,40.515567879076116,148.21148310624994,15985.615061346442,108
0.58535445,0.90625,0.00032361108,4.0,-0.8237629,0.11954976,-0.60714877,-1.3439246,-0.8237629,0.11954976,-0.60714877,-1.3439246,2.0,0.41818362,0.09334359,0.94634795,157.8813,-156.32535,1.4109206,-154.50763,-163.20593,-156.805,1.4101056,-155.03242,-163.63826,-157.90329,1.4544876,-156.37672,-165.83032,-0.3702494,0.6149092,0.5994905,-2.9210942,-0.02370831,0.39490145,0.9820033,-1.2703177,-0.8230276,0.05333623,-0.57333016,-0.91315055,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.072676e-05,0.0072101536,0.2410512,-0.050687917,1000.0,0.0,1000,1000,10,0.23715338200282718,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.975486e-06,0.48369044,0.99189126,-0.98249954,1000.0,0.0,1000,1000,1000.0,1096,1100000,1100,41.632566645159386,74.00816797697917,39.69681349012535,155.3375481122639,16132.997621882823,109
0.592409,0.90234375,0.0011371922,4.0,-0.8249588,0.12736341,-0.596793,-1.4242008,-0.8249588,0.12736341,-0.596793,-1.4242008,2.0,0.20099846,0.881748,1.7708995,157.98405,-156.45563,1.6519479,-154.3322,-166.0554,-155.77075,1.668387,-153.64262,-165.81606,-157.98831,1.6118492,-156.30826,-167.09627,-0.31819844,0.6397845,1.7842546,-3.155583,-0.020941833,0.42694417,1.4456551,-1.3297868,-0.8048817,0.052630447,-0.61861616,-0.8744646,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.677098e-05,0.007923267,0.30385584,-0.055681936,1000.0,0.0,1000,1000,10,0.23908184241562735,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.027417e-05,0.4838888,0.9899423,-0.9880312,1000.0,0.0,1000,1000,1000.0,1106,1110000,1110,40.423017394845374,66.07460947800428,38.29141152999364,144.7890384028433,16275.661395247676,110
0.58668184,0.92578125,0.00075836835,4.0,-0.8213469,0.12523557,-0.6003525,-1.2093105,-0.8213469,0.12523557,-0.6003525,-1.2093105,2.0,0.024900552,0.12621254,0.24367338,156.26682,-156.95312,1.4913628,-154.89363,-165.19191,-157.24399,1.4695948,-155.26208,-165.31061,-156.32571,1.3878814,-154.62137,-164.63359,-0.30973145,0.7298781,1.4235373,-4.7487774,0.07093322,0.44218856,1.241285,-0.99974203,-0.80667806,0.05064863,-0.6416373,-0.8912978,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.2410516e-05,0.008261916,0.27983248,-0.06549695,1000.0,0.0,1000,1000,10,0.2394620659162938,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00035032586,0.48212773,0.9838989,-0.98800135,1000.0,0.0,1000,1000,1000.0,1116,1120000,1120,42.20951558975503,63.97842579102144,40.67758580413647,146.86552718491293,16422.49209439673,111
0.5920245,0.90234375,0.00035558894,4.0,-0.8334638,0.1363767,-0.60087615,-1.4473367,-0.8334638,0.1363767,-0.60087615,-1.4473367,2.0,0.0553201,0.0044119363,0.07016559,156.66484,-156.27118,1.4443029,-154.29703,-162.87383,-156.6105,1.471641,-154.53304,-163.21803,-156.69157,1.491113,-154.92859,-164.59729,-0.2943441,0.6525691,1.9753611,-3.2774575,-0.003028783,0.47538972,1.3877941,-1.5988328,-0.8032241,0.05101121,-0.6697052,-0.9201486,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.5698467e-05,0.008540633,0.29255667,-0.053719103,1000.0,0.0,1000,1000,10,0.2656283046261548,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00028415714,0.48601958,0.9846803,-0.9879707,1000.0,0.0,1000,1000,1000.0,1126,1130000,1130,40.36115797702223,63.97327266901266,39.77312200469896,144.10755265073385,16568.46993394522,112
0.59228146,0.89453125,0.0005778781,4.0,-0.8119658,0.1183219,-0.5927378,-1.4462599,-0.8119658,0.1183219,-0.5927378,-1.4462599,2.0,0.014587922,0.05789186,0.04434319,156.61162,-156.59242,1.4178709,-154.7896,-162.49255,-156.11877,1.4206731,-154.35211,-161.94409,-156.63072,1.4432248,-154.9427,-162.63286,-0.23301561,0.623384,1.6194245,-3.1885986,-0.048624855,0.47393054,1.2209585,-1.470505,-0.81713676,0.0631099,-0.6452991,-0.931646,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.689306e-05,0.009229218,0.32110792,-0.06169114,1000.0,0.0,1000,1000,10,0.23915994393320056,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.0001784049,0.48209164,0.9932269,-0.98502237,1000.0,0.0,1000,1000,1000.0,1136,1140000,1140,42.44280307099689,65.86682275298517,40.5017802589573,148.81140608293936,16715.231531434227,113
0.5900472,0.9199219,0.0005698077,4.0,-0.80995786,0.12623672,-0.59036005,-1.4140428,-0.80995786,0.12623672,-0.59036005,-1.4140428,2.0,0.014473294,0.016052717,0.0711372,156.37236,-156.38724,1.4633516,-154.41609,-163.05565,-156.3779,1.461933,-154.33339,-162.97726,-156.37833,1.3075876,-154.80101,-162.0615,-0.2668501,0.63283956,1.8831095,-3.6234202,-0.008122167,0.4364617,1.3016032,-1.4832171,-0.79855967,0.058314502,-0.5954371,-0.8870191,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.334003e-05,0.010279669,0.37857345,-0.08479748,1000.0,0.0,1000,1000,10,0.25325038616649753,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00025588454,0.4804107,0.97662246,-0.99378234,1000.0,0.0,1000,1000,1000.0,1146,1150000,1150,41.51132879767101,63.84361452399753,39.818906062981114,145.17384938464966,16863.05812735879,114
0.5844349,0.9316406,0.00033233588,4.0,-0.80299175,0.117321886,-0.5993117,-1.23995,-0.80299175,0.117321886,-0.5993117,-1.23995,2.0,0.1865868,0.28341585,0.92157936,155.34158,-156.79465,1.51713,-154.8672,-163.96504,-156.93758,1.5151017,-155.08202,-164.4184,-155.35399,1.441922,-153.7889,-162.7783,-0.27348477,0.6440683,1.1265218,-4.537909,0.04189668,0.44708163,1.1344205,-1.2598699,-0.8014814,0.055909432,-0.5424623,-0.88706905,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.712328e-05,0.010637109,0.34767783,-0.07712598,1000.0,0.0,1000,1000,10,0.23494114809849048,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00011536195,0.48512226,0.9852926,-0.99196154,1000.0,0.0,1000,1000,1000.0,1156,1160000,1160,42.52106700534932,66.5215877359733,39.24157621990889,148.28423096123151,17009.54402480228,115
0.5842693,0.9238281,0.0005450912,4.0,-0.8353436,0.12636851,-0.6129515,-1.2595524,-0.8353436,0.12636851,-0.6129515,-1.2595524,2.0,0.75997186,0.52170813,0.06289439,156.56331,-157.02646,1.2563442,-155.35867,-162.57526,-154.78014,1.2303443,-153.20825,-160.2039,-156.4956,1.1411207,-155.16272,-161.82664,-0.2518068,0.6249296,1.9020247,-5.009614,-0.04780852,0.43517178,1.0694058,-1.4961926,-0.8206683,0.06029186,-0.6323223,-0.90351146,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.871259e-05,0.009610362,0.33832222,-0.06288851,1000.0,0.0,1000,1000,10,0.2249184691938021,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-1.4814859e-05,0.4875581,0.9886421,-0.9923796,1000.0,0.0,1000,1000,1000.0,1166,1170000,1170,41.31551140930969,64.74887676804792,39.44484324613586,145.50923142349347,17163.69419865962,116
0.5855648,0.9296875,0.00086747017,4.0,-0.81845653,0.13150182,-0.60051274,-1.3638878,-0.81845653,0.13150182,-0.60051274,-1.3638878,2.0,0.0035505737,0.0055561704,0.025535673,155.33037,-155.52118,1.3594869,-153.77058,-162.83852,-155.61229,1.3757175,-153.77998,-162.83934,-155.3266,1.2784816,-153.78929,-161.68544,-0.2055285,0.5299098,1.1030288,-2.9575322,0.0036358517,0.45095256,1.1496927,-1.0506073,-0.79608464,0.053071715,-0.6143232,-0.88963836,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.0380454e-05,0.009861784,0.3364204,-0.063047014,1000.0,0.0,1000,1000,10,0.2560144448119057,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00013045577,0.48487803,0.99333876,-0.99077433,1000.0,0.0,1000,1000,1000.0,1176,1180000,1180,39.71768990193959,73.41275628400035,38.80484667990822,151.93529286584817,17305.590515397373,117
0.5879717,0.91796875,0.00047083065,4.0,-0.81775886,0.11977247,-0.60389566,-1.272972,-0.81775886,0.11977247,-0.60389566,-1.272972,2.0,0.32300776,0.08265069,0.7157823,155.84009,-154.61174,1.1657789,-152.90169,-159.90756,-155.00772,1.1763299,-153.30048,-159.79643,-155.86487,1.1207176,-154.42474,-161.5771,-0.29839757,0.6179917,1.4467578,-4.432044,0.021440467,0.45204613,1.2634811,-1.0793109,-0.8033824,0.05947709,-0.5960199,-0.9079322,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.12828e-05,0.009930908,0.34639886,-0.07060887,1000.0,0.0,1000,1000,10,0.25094261753448976,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,1.0999704e-05,0.48317122,0.99293983,-0.9908441,1000.0,0.0,1000,1000,1000.0,1186,1190000,1190,40.07790179620497,63.39753470791038,39.505487283924595,142.98092378803995,17450.273225144483,118
0.5891181,0.92578125,0.00039910735,4.0,-0.8229126,0.14173487,-0.5902846,-1.367629,-0.8229126,0.14173487,-0.5902846,-1.367629,2.0,0.009531362,0.13105063,0.25518382,155.52621,-155.22363,1.4605458,-153.52434,-166.53198,-154.83421,1.4618028,-153.1028,-166.30858,-155.63527,1.2629278,-154.14926,-165.80171,-0.26551622,0.589457,1.1195022,-4.2286787,0.03246381,0.43924746,1.0396826,-1.0733997,-0.7766,0.05936421,-0.6027873,-0.8894715,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.343465e-05,0.009773877,0.3271792,-0.06827813,1000.0,0.0,1000,1000,10,0.2490612575377078,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00027633694,0.48930785,0.9840524,-0.9948507,1000.0,0.0,1000,1000,1000.0,1196,1200000,1200,42.08744286606088,65.12003003398422,38.6975578549318,145.9050307549769,17594.834263405763,119
0.5916839,0.90234375,0.00042985575,4.0,-0.82113034,0.12586577,-0.6059884,-1.3295261,-0.82113034,0.12586577,-0.6059884,-1.3295261,2.0,0.0037505408,0.029831288,0.07232012,155.28467,-155.63676,1.3590908,-153.7691,-162.29135,-155.82721,1.3569942,-153.9733,-162.65001,-155.24004,1.2614138,-153.70677,-161.70454,-0.29260498,0.6939366,1.2818,-4.827222,0.009359241,0.42826402,1.0062833,-1.2352003,-0.79426724,0.055479363,-0.6429905,-0.8862394,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.246829e-05,0.011150945,0.37027696,-0.08135937,1000.0,0.0,1000,1000,10,0.24169396892052208,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,8.035306e-05,0.48485598,0.98551357,-0.9843134,1000.0,0.0,1000,1000,1000.0,1206,1210000,1210,41.94468010903802,63.79798554407898,39.51099078997504,145.25365644309204,17742.396589206648,120
0.5778649,0.9296875,0.00056262274,4.0,-0.82615435,0.122425675,-0.59847444,-1.2561649,-0.82615435,0.122425675,-0.59847444,-1.2561649,2.0,0.1052863,0.05517704,0.28198656,155.86633,-155.26901,1.3961434,-153.32416,-162.01727,-155.3996,1.4076988,-153.55072,-162.24908,-155.80641,1.1959008,-154.3778,-161.23048,-0.24551697,0.6009578,1.5835457,-3.9163136,-0.06597793,0.45153242,0.9498212,-1.381827,-0.79696476,0.06206797,-0.6223032,-0.8928202,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.844095e-05,0.011965972,0.3829231,-0.08492151,1000.0,0.0,1000,1000,10,0.23835371101770797,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.396156e-05,0.48665386,0.98419213,-0.98851043,1000.0,0.0,1000,1000,1000.0,1216,1220000,1220,40.94324625178706,66.12822177598719,40.2103293716209,147.28179739939515,17889.876178929233,121
