Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.2787429,0.9941406,0.0011647521,4.0,-1.4468845,0.31051013,-0.37376174,-5.362166,2.0,0.13617986,0.26822567,0.101303965,285.40775,-285.57877,8.712463,-282.37012,-334.78918,-285.12823,8.446346,-279.9747,-331.60385,-285.21298,8.942036,-281.0546,-334.58636,-0.47838402,0.46212873,1.2598909,-3.0616994,-0.035288453,0.31487662,0.6494241,-0.84032047,-0.45613697,0.33441436,-0.24149886,-2.2495992,1.0,0.0,1.0,1.0,17.125856164383563,2.9099644504012394,26.0,12.0,-0.016454795,0.06098225,0.13539721,-0.19559002,17.125856164383563,2.9099644504012394,26,12,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,9.471212e-05,0.5537045,0.9979812,-0.9885448,1000.0,0.0,1000,1000,17.125856164383563,1016,1020000,1020,38.36810930224601,51.5928318380611,40.949779622023925,130.91072076233104,12750.978243554942,101
0.2798644,0.9902344,0.0011084955,4.0,-1.4612591,0.27721792,-0.3940771,-4.2271824,2.0,0.33650264,0.33184737,0.08567675,282.55478,-283.424,5.382965,-280.09375,-326.5643,-283.48248,5.3656487,-280.37454,-326.34634,-282.7638,5.297363,-279.52142,-325.86346,-0.58942974,0.44155565,0.77000016,-3.6546254,0.023473978,0.30031878,0.7222749,-0.9422864,-0.37986156,0.18657832,-0.22389233,-1.7897736,1.0,0.0,1.0,1.0,15.89277204130262,2.209540333949971,23.0,11.0,-0.019420918,0.07247346,0.14524104,-0.20280269,15.89277204130262,2.209540333949971,23,11,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00018730569,0.55208004,0.99554205,-0.9914015,1000.0,0.0,1000,1000,15.89277204130262,1026,1030000,1030,39.83401125820819,52.64449662796687,40.36134656018112,132.83985444635618,12883.011698237504,102
0.27724302,0.9941406,0.0010470503,4.0,-1.4262564,0.14374298,-0.39119405,-1.542977,2.0,0.072400816,0.62485456,0.74806094,282.75473,-283.3468,7.5579224,-279.87616,-327.17548,-284.3238,7.5599937,-280.8597,-326.70602,-282.67,7.6412134,-278.2459,-326.97318,-0.5179038,0.44161016,1.0693843,-2.5441713,0.023599684,0.3093036,0.66100955,-1.1933159,-0.3793988,0.30911988,-0.18158403,-2.3134089,1.0,0.0,1.0,1.0,14.832468495181615,1.7862289044157755,20.0,11.0,-0.02230864,0.07910718,0.1223486,-0.2748559,14.832468495181615,1.7862289044157755,20,11,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00017546603,0.55320936,0.9926662,-0.99171525,1000.0,0.0,1000,1000,14.832468495181615,1036,1040000,1040,39.64576615893748,51.86546949506737,40.75055438885465,132.2617900428595,13014.587761481409,103
0.27455786,0.99609375,0.0016615503,4.0,-1.4818175,0.49357513,-0.3871865,-5.3288665,2.0,2.4208875,1.1603819,5.4825983,279.22058,-283.27405,5.4251437,-280.53613,-322.8698,-282.6063,5.5142326,-280.4458,-323.16016,-279.52106,6.1583657,-275.88727,-324.77502,-0.57757616,0.45849082,0.9040193,-2.8664947,0.034391113,0.3302599,0.7502732,-0.84370255,-0.34438545,0.2536643,-0.17349342,-2.1474895,1.0,0.0,1.0,1.0,14.988014981273409,2.118548057617466,22.0,11.0,-0.019292602,0.094339795,0.18133216,-0.2729076,14.988014981273409,2.118548057617466,22,11,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.00057846616,0.56040466,0.99447984,-0.9971804,1000.0,0.0,1000,1000,14.988014981273409,1046,1050000,1050,38.8632110710023,51.176127862068824,40.906649526790716,130.94598845986184,13145.243971938267,104
0.2776064,0.9941406,0.0011335263,4.0,-1.43813,0.29410177,-0.37281585,-5.6541076,2.0,2.308102,0.057107717,2.5340765,281.66736,-278.22076,7.180926,-275.93304,-328.6483,-280.3342,7.1217484,-278.11343,-331.30908,-282.01886,7.250157,-279.73822,-333.43018,-0.5383611,0.45178613,0.83043206,-2.6814244,0.023748387,0.3272766,0.6862819,-0.991931,-0.39687592,0.25901204,-0.24043992,-1.9490626,1.0,0.0,1.0,1.0,13.952580195258019,2.3843947934175977,22.0,10.0,-0.02636238,0.08923607,0.16347948,-0.37426364,13.952580195258019,2.3843947934175977,22,10,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0002990634,0.5597269,0.9949512,-0.99598724,1000.0,0.0,1000,1000,13.952580195258019,1056,1060000,1060,36.285622109193355,50.871803935966454,39.60274724289775,126.76017328805756,13271.488669602433,105
0.27744663,0.9941406,0.0011044854,4.0,-1.4454787,0.29309717,-0.39258388,-5.8035474,2.0,0.4667319,0.09344115,0.6875169,279.07266,-280.53857,7.139054,-278.1236,-327.36603,-279.8413,7.1120863,-277.5182,-326.12802,-278.95667,7.588806,-276.8178,-329.83646,-0.51441014,0.46920562,1.4050337,-2.282836,0.00084593147,0.3392279,0.7091135,-1.2198503,-0.34433836,0.27720678,-0.1784397,-2.3194325,1.0,0.0,1.0,1.0,13.730267673301304,2.064670823947753,21.0,10.0,-0.023504168,0.112844855,0.20340456,-0.3943486,13.730267673301304,2.064670823947753,21,10,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,7.70735e-05,0.5617015,0.99180454,-0.9914032,1000.0,0.0,1000,1000,13.730267673301304,1066,1070000,1070,34.73045036313124,50.36837122403085,39.54214180028066,124.64096338744275,13395.345136051881,106
0.27784282,0.9921875,0.0012064725,4.0,-1.4486259,0.22547863,-0.43049076,-4.254229,2.0,0.06726869,0.058416937,0.047494274,278.27695,-278.70746,6.8984265,-276.68167,-323.84412,-278.77975,6.975201,-276.64084,-326.12085,-278.24432,7.167805,-276.21762,-328.0822,-0.52190316,0.3944234,0.9473044,-1.8834893,0.01680449,0.3100602,0.779484,-0.81777877,-0.34712836,0.22146042,-0.20263854,-1.8083873,1.0,0.0,1.0,1.0,11.234138124649073,1.4037257718958627,16.0,9.0,-0.02897478,0.14605142,0.25422192,-0.5921278,11.234138124649073,1.4037257718958627,16,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00017246389,0.5635523,0.99524146,-0.99279237,1000.0,0.0,1000,1000,11.234138124649073,1076,1080000,1080,32.88830163620878,49.5671730900649,39.13859034108464,121.59406506735831,13515.71375931811,107
0.27804172,0.9902344,0.0013574832,4.0,-1.4496961,0.18053235,-0.45932615,-4.09786,2.0,0.6001137,0.7922386,0.838919,278.14914,-277.14453,6.0837817,-271.31802,-318.5089,-276.9792,6.0902386,-271.35355,-317.2656,-277.8991,6.2500744,-271.91074,-320.58072,-0.49184856,0.46349433,1.5649704,-2.276175,0.05485003,0.36520442,0.73274046,-1.4575121,-0.3206857,0.180817,-0.182361,-1.4753426,1.0,0.0,1.0,1.0,11.919594997022037,1.9575825491982544,18.0,9.0,-0.027045853,0.12754562,0.16941126,-0.42208916,11.919594997022037,1.9575825491982544,18,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00010489387,0.56017834,0.9959588,-0.99623364,1000.0,0.0,1000,1000,11.919594997022037,1086,1090000,1090,30.08577639097348,48.3438475279836,38.4436469519278,116.87327087088488,13633.098075140733,108
0.274813,0.9941406,0.0013655324,4.0,-1.505253,0.51649666,-0.5085952,-5.841033,2.0,0.1779693,0.20595518,0.4454571,276.56766,-276.06488,5.6998906,-274.40604,-319.91962,-275.943,5.91405,-274.08093,-322.36505,-276.37616,5.986314,-274.65952,-320.45517,-0.59917235,0.4221346,0.7380281,-3.1626253,-0.015837537,0.29727697,0.68849903,-0.91907877,-0.3449633,0.16122393,-0.22508052,-1.71792,1.0,0.0,1.0,1.0,11.864768683274022,2.0380670342103664,19.0,9.0,-0.027331466,0.14822112,0.28161117,-0.52467614,11.864768683274022,2.0380670342103664,19,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00017781464,0.5625092,0.9961838,-0.9926184,1000.0,0.0,1000,1000,11.864768683274022,1096,1100000,1100,29.658716329024173,48.89284926094115,39.37166631501168,117.923231904977,13750.768369343597,109
0.27525556,0.99609375,0.0014988505,4.0,-1.4397304,0.37270582,-0.44816458,-5.30838,2.0,0.63299435,0.6742808,0.33828372,274.33545,-275.62296,6.2609677,-273.83865,-320.90814,-275.9419,6.436577,-274.09,-324.2445,-274.60272,6.715288,-272.77377,-324.57886,-0.5825198,0.38514018,0.93995094,-1.6967477,0.001973616,0.30909985,0.6845482,-1.0833322,-0.3129178,0.20789595,-0.17270333,-1.6904938,1.0,0.0,1.0,1.0,9.99050949050949,1.3268945666362761,19.0,8.0,-0.03584183,0.2297832,0.35981882,-0.66962564,9.99050949050949,1.3268945666362761,19,8,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00020764106,0.5684824,0.99483246,-0.9962285,1000.0,0.0,1000,1000,9.99050949050949,1106,1110000,1110,30.90788442280609,48.67476062499918,38.24209707218688,117.82474211999215,13868.031419096398,110
0.27359384,1.0,0.0011188058,4.0,-1.4305682,0.06434601,-0.55588317,-1.5160916,2.0,0.13514389,0.4308259,0.81096756,272.73608,-274.08817,5.229028,-272.3372,-323.01834,-274.6007,5.0333204,-271.63,-320.56586,-272.79263,5.282318,-270.05414,-321.85858,-0.5145483,0.40646213,1.2254066,-1.9976249,0.0010756701,0.3421815,0.72261834,-1.1234306,-0.31916574,0.17486031,-0.20916274,-1.7315211,1.0,0.0,1.0,1.0,12.825,3.754418337277034,38.0,9.0,-0.025979763,0.22242716,0.603328,-0.7594694,12.825,3.754418337277034,38,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00041539193,0.5681961,0.99788564,-0.99431235,1000.0,0.0,1000,1000,12.825,1116,1120000,1120,30.947236032807268,48.13722535094712,38.67438178998418,117.75884317373857,13986.960537248757,111
0.27928674,0.9863281,0.001066515,4.0,-1.4376199,0.18828475,-0.6163167,-3.5546172,2.0,0.2171618,0.282216,0.9977661,272.6545,-274.1894,6.1883216,-272.4075,-321.07925,-274.34143,6.2613106,-272.6392,-322.07895,-272.5338,6.6116953,-270.8519,-323.72586,-0.5950655,0.3854537,0.70065904,-2.3516488,-0.026277516,0.31276822,0.6580166,-0.9024628,-0.2877921,0.15966994,-0.18756846,-1.4653609,1.0,0.0,1.0,1.0,10.432221063607924,1.9164902012495177,20.0,8.0,-0.03943663,0.28507015,0.6744076,-0.8197707,10.432221063607924,1.9164902012495177,20,8,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0001564499,0.5720496,0.996828,-0.99154234,1000.0,0.0,1000,1000,10.432221063607924,1126,1130000,1130,30.350730021949857,49.28568330197595,39.32204644009471,118.95845976402052,14104.691933518741,112
0.2728159,0.99609375,0.0015583071,4.0,-1.4475777,0.14754698,-0.6989664,-3.5175056,2.0,0.01959758,0.03238172,0.06346153,271.38416,-271.77203,3.4050272,-270.7582,-313.63947,-271.63895,3.5395849,-270.4704,-315.86246,-271.45218,3.4939554,-270.38904,-315.7639,-0.6024196,0.36956605,0.50570077,-2.1534603,-0.025222408,0.3106613,0.73653924,-1.119131,-0.29170126,0.08677979,-0.21262604,-0.71261996,1.0,0.0,1.0,1.0,42.35983263598327,73.39863799978195,307.0,9.0,-0.004740902,0.44307756,0.865657,-0.8241301,42.35983263598327,73.39863799978195,307,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00021066122,0.56795377,0.9962096,-0.9974916,1000.0,0.0,1000,1000,42.35983263598327,1136,1140000,1140,31.093560900888406,48.073003354948014,38.454804127220996,117.62136838305742,14226.451869187062,113
0.27594712,0.9941406,0.0012096883,4.0,-1.4460099,0.12702453,-0.7383147,-2.8053775,2.0,0.519554,0.37142116,0.09200896,271.3193,-272.29156,6.3635035,-270.40286,-317.66895,-271.61453,6.3439417,-269.57785,-315.2493,-271.52844,6.5504217,-269.6091,-317.832,-0.5836139,0.45582613,1.0028229,-3.2229357,-0.0040941588,0.3189626,0.808418,-1.4275259,-0.31989506,0.21789144,-0.21869484,-2.179961,1.0,0.0,1.0,1.0,29.46686303387334,40.28150217414184,520.0,9.0,-0.016680613,0.32312086,0.9191327,-0.8894335,29.46686303387334,40.28150217414184,520,9,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,0.00023492957,0.5621862,0.99700886,-0.9930329,1000.0,0.0,1000,1000,29.46686303387334,1146,1150000,1150,32.13194549421314,52.26965448295232,38.463049963116646,122.8646499402821,14348.190987727372,114
0.27320293,0.99609375,0.0011607897,4.0,-1.4585557,0.3799704,-0.38562024,-5.677079,2.0,0.17251092,0.28878462,0.073362015,270.7827,-271.08817,5.4615397,-269.47604,-309.49014,-269.8428,5.420067,-268.18607,-309.3669,-270.58585,5.6959743,-268.92676,-314.9776,-0.57406396,0.40667382,0.80311304,-2.3984456,0.005552846,0.30984423,0.7720976,-0.85540915,-0.28028655,0.18904908,-0.18371023,-2.2090023,1.0,0.0,1.0,1.0,16.200809716599192,6.23378539220103,46.0,8.0,-0.032297704,0.3106073,0.8696346,-0.9086341,16.200809716599192,6.23378539220103,46,8,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.7415768e-05,0.5692196,0.9957788,-0.9958896,1000.0,0.0,1000,1000,16.200809716599192,1156,1160000,1160,30.407100961892866,51.13102585496381,39.46020846592728,120.99833528278396,14468.455123877386,115
0.2782377,0.9921875,0.0010293508,4.0,-1.4264112,0.05574585,-0.7137006,-1.877386,2.0,0.67850137,0.9898993,0.5772313,269.64725,-270.57962,7.250029,-268.52603,-330.56122,-271.51102,7.1888175,-269.3591,-331.0126,-270.13,6.898511,-268.2248,-326.50345,-0.6039455,0.4309061,0.86926305,-2.9932613,-0.059374727,0.30759728,0.7212575,-0.96147364,-0.31026638,0.14648733,-0.20096643,-1.5409082,1.0,0.0,1.0,1.0,32.37378640776699,59.57428062136448,326.0,8.0,-0.01959491,0.419537,0.9131619,-0.9118261,32.37378640776699,59.57428062136448,326,8,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.0005567947,0.5679804,0.9956226,-0.99265087,1000.0,0.0,1000,1000,32.37378640776699,1166,1170000,1170,33.79406712076161,50.4075044170022,39.15582555311266,123.35739709087647,14593.722263263073,116
0.27126896,1.0,0.001080456,4.0,-1.4199445,0.23016296,-0.3565767,-4.4001627,2.0,0.44373617,3.872579,3.1276197,268.72818,-269.54688,6.7683263,-266.1714,-317.266,-272.14624,6.5647564,-268.4776,-320.71457,-269.3266,7.354609,-264.92563,-322.82257,-0.6037469,0.485738,1.6147311,-4.5539293,0.025869925,0.33849156,1.3399765,-1.460591,-0.29903966,0.18743755,-0.107861,-2.016809,1.0,0.0,1.0,1.0,14.830244625648628,4.471649100470842,33.0,8.0,-0.03725952,0.34499145,0.9407423,-0.93826985,14.830244625648628,4.471649100470842,33,8,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,4.2180087e-05,0.5740165,0.9955349,-0.9937382,1000.0,0.0,1000,1000,14.830244625648628,1176,1180000,1180,34.372719474020414,52.33016792405397,38.07063168019522,124.7735190782696,14716.409358569304,117
