Inverse-Dynamic-MSE,Valid-InvDyn-MSE,State-Pred-Expt-MSE,State-Pred-Real-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0040147556,0.013882177,8.233148e-07,95.12472,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.1841619e-05,0.060532093,0.9999345,-0.9986293,1000.0,0.0,1000,1000,10,0.0006020590598993731,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.18830389,0.9644567,1.0,-1.0,1000.0,0.0,1000,1000,1000.0,520,520000,525,262.1941191959195,45.684748366998974,65.15832738601603,373.0371949489345,12604.223924660124,51
0.019332264,0.012099212,1.5043786e-06,68.54703,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.6829184e-05,0.090395354,0.99998844,-0.99819404,1000.0,0.0,1000,1000,10,0.001821547956068898,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.66480774,0.622814,1.0,-1.0,1000.0,0.0,1000,1000,1000.0,530,530000,535,352.897713970975,47.33085750899045,63.41406915697735,463.6426406369428,13070.522582701058,52
0.007023402,0.013455487,1.2171488e-06,77.84967,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,8.039325e-05,0.10506386,0.9998937,-0.99909866,1000.0,0.0,1000,1000,10,0.0016703791960059821,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.71946347,0.6081625,1.0,-1.0,1000.0,0.0,1000,1000,1000.0,540,540000,545,160.11307049094466,49.96869066997897,63.40080610581208,273.4825672667357,13343.65980258683,53
0.0040255548,0.0127484435,1.0127726e-06,94.69789,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-9.157753e-05,0.08890665,0.99991786,-0.9992964,1000.0,0.0,1000,1000,10,0.0013035492395785495,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.65133953,0.6449255,0.99999994,-1.0,1000.0,0.0,1000,1000,1000.0,550,550000,555,318.1775513868779,49.58913658198435,66.98141292092623,434.7481008897885,13778.203762972727,54
0.0224765,0.013873194,2.1119308e-06,84.38365,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.5247576e-05,0.099791326,0.99996006,-0.9987712,1000.0,0.0,1000,1000,10,0.002342467872334435,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.9588164,0.24483521,0.99999934,-1.0,1000.0,0.0,1000,1000,1000.0,560,560000,565,214.3228536848328,49.47099370701471,63.71826048998628,327.5121078818338,14106.368056040548,55
0.013532782,0.011128656,3.139005e-06,84.5694,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.400619e-05,0.09917876,0.99998754,-0.99938744,1000.0,0.0,1000,1000,10,0.002089438854573486,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.9618527,0.22752818,0.9999988,-1.0,1000.0,0.0,1000,1000,1000.0,570,570000,575,382.88933317014016,50.07963321800344,66.22899853199488,499.1979649201385,14603.721276496712,56
0.013201426,0.011367819,1.4124505e-06,95.95528,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.10084e-05,0.09556064,0.9999998,-0.9996161,1000.0,0.0,1000,1000,10,0.0018272778668785748,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.95568126,0.25644577,1.0,-1.0,1000.0,0.0,1000,1000,1000.0,580,580000,585,185.07429276104085,48.21398699999554,65.98823365807766,299.27651341911405,14902.904749880836,57
0.008617878,0.012164398,8.0693474e-07,125.71216,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.0156644e-05,0.084269375,0.99999183,-0.9995385,1000.0,0.0,1000,1000,10,0.0013431130234962984,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.9601072,0.24443518,0.99999917,-1.0,1000.0,0.0,1000,1000,1000.0,590,590000,595,236.90955922490684,48.10970161302248,65.62735401309328,350.6466148510226,15251.332375845814,58
0.006556403,0.010052992,1.6868066e-06,77.50821,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.3796998e-05,0.08779879,0.99999464,-0.99942976,1000.0,0.0,1000,1000,10,0.0023677506117571775,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.9557207,0.256008,0.9999969,-1.0,1000.0,0.0,1000,1000,1000.0,600,600000,605,190.93442247714847,45.89959369698772,67.26423626102041,304.0982524351566,15559.499714903068,59
0.014763304,0.011012472,2.8821535e-06,75.816505,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.0777675e-05,0.098256856,0.9999959,-0.99934953,1000.0,0.0,1000,1000,10,0.0018325852942027879,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.96441424,0.22805385,0.99999946,-1.0,1000.0,0.0,1000,1000,1000.0,610,610000,615,262.4379693499068,49.98373461700976,65.70674499002052,378.12844895693706,15940.327872593014,60
