Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
3.3309818e-05,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.5938286e-05,0.07644057,0.99998534,-0.9999628,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.1212864e-05,0.076031394,0.9999739,-0.9999649,1000.0,0.0,1000,1000,1000.0,650,650000,700,162.59630894300062,20.18379228701815,16.01320219587069,198.79330342588946,12852.325454095146,64
0.00035491248,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.995112e-05,0.073691085,0.9999681,-0.999967,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.663193e-05,0.07330214,0.99997514,-0.99995863,1000.0,0.0,1000,1000,1000.0,660,660000,710,162.61694303603144,20.003980204986874,15.77546672191238,198.3963899629307,13050.86535994109,65
0.0025015743,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.79542e-05,0.07323594,0.99996144,-0.9999648,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.4215725e-05,0.07374026,0.9999239,-0.99994826,1000.0,0.0,1000,1000,1000.0,670,670000,720,161.1797002669773,20.150321049964987,15.853527228988241,197.18354854593053,13247.908242163947,66
0.00021017496,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,1.3673979e-05,0.07578605,0.9999705,-0.9999605,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.181646e-05,0.072243355,0.99997354,-0.99991965,1000.0,0.0,1000,1000,1000.0,680,680000,730,161.54566202894785,20.00581283099018,15.996044191007968,197.547519050946,13445.574790031882,67
0.00074711215,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.980437e-05,0.07815849,0.99998254,-0.99997497,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,2.8006777e-06,0.07309125,0.99993664,-0.99997526,1000.0,0.0,1000,1000,1000.0,690,690000,740,162.01196662400616,20.1306981810485,15.99360560713103,198.1362704121857,13643.592222734063,68
0.0025440739,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-7.4724754e-05,0.07373895,0.99996096,-0.99994874,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.603969e-05,0.07073619,0.999948,-0.9999428,1000.0,0.0,1000,1000,1000.0,700,700000,750,161.63051421794808,20.008309246972203,15.93075595080154,197.56957941572182,13841.222477949865,69
0.0016575444,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.330479e-05,0.074660026,0.9999788,-0.99996233,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.4467721e-05,0.0796404,0.99998575,-0.999986,1000.0,0.0,1000,1000,1000.0,710,710000,760,161.31979485199554,20.11088820802979,15.583598254946992,197.01428131497232,14038.29306507879,70
0.0009545393,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-2.5993077e-05,0.07444138,0.9999825,-0.999978,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-0.000101333106,0.072276965,0.9999657,-0.99995345,1000.0,0.0,1000,1000,1000.0,720,720000,770,161.90809518197784,20.12751764798304,15.376987411116716,197.4126002410776,14235.84365183377,71
3.4589906e-05,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.4390687e-05,0.081237316,0.9999844,-0.9999774,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,3.8647533e-05,0.07743251,0.999966,-0.9999656,1000.0,0.0,1000,1000,1000.0,730,730000,780,161.63797149102902,20.2658771960414,15.754356184916105,197.65820487198653,14433.715993168822,72
0.008020533,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-6.1921164e-05,0.07864061,0.99998564,-0.99997294,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-5.4216514e-05,0.07735868,0.9999811,-0.99997526,1000.0,0.0,1000,1000,1000.0,740,740000,790,161.37734811985865,20.482917522022035,15.840378167980816,197.7006438098615,14631.456035675772,73
1.1184766e-05,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-3.9260478e-05,0.07767624,0.99998724,-0.9999863,1000.0,0.0,1000,1000,10,1.0,0.0,1.0,1.0,1000.0,0.0,1000.0,1000.0,-4.631702e-05,0.07800606,0.99998134,-0.9999862,1000.0,0.0,1000,1000,1000.0,750,750000,800,160.68928498396417,20.523866105999332,15.810481521999463,197.02363261196297,14828.606116642652,74
